时间点,PTC10,PTC11,PTC23,PTC24
0,23.402952,23.402952,23.201393,23.301435
1,24.003473,24.10356,23.601566,23.801653
2,24.603996,24.704082,24.00174,24.201826
3,25.304605,25.304604,24.501957,24.702044
4,26.005213,26.1053,25.102219,25.202261
5,26.705822,26.80591,25.70248,25.802523
6,27.50652,27.606606,26.30274,26.502827
7,28.207129,28.307215,26.903002,27.103088
8,29.007824,29.10791,27.603306,27.703348
9,29.80852,29.908606,28.30361,28.503696
10,31.109652,31.209738,29.204002,29.404089
11,32.510868,32.71104,30.304482,30.504566
12,34.11226,34.312435,31.605045,31.70509
13,35.81374,36.013912,32.905613,33.105698
14,37.715393,37.915565,34.406265,34.60635
15,39.617046,39.81722,35.906918,36.107002
16,41.618786,41.81896,37.607655,37.7077
17,43.72061,43.920788,39.308395,39.508484
18,45.922527,46.1227,41.20922,41.309265
19,48.22453,48.4247,43.11005,43.21009
20,50.42644,50.726704,45.010876,45.21096
21,52.82853,53.0287,47.011745,47.11179
22,55.13053,55.330704,49.012615,49.2127
23,57.632706,57.83288,51.11353,51.313614
24,59.934708,60.234966,53.214443,53.414528
25,62.436882,62.637054,55.415398,55.51544
26,64.93906,65.13923,57.7164,57.7164
27,67.44123,67.6414,59.817314,59.917355
28,69.84332,70.043495,62.118313,62.218357
29,72.3455,72.54567,64.41931,64.519356
30,74.84767,75.047844,66.720314,66.720314
31,77.44993,77.65011,69.02132,69.12136
32,80.05219,80.15228,71.422356,71.422356
33,82.55437,82.75454,73.72336,73.72336
34,85.256714,85.356804,76.124405,76.124405
35,87.758896,87.95907,78.525444,78.525444
36,90.36115,90.46124,80.92649,80.92649
37,92.96342,93.06351,83.42758,83.32754
38,95.56568,95.665764,85.82862,85.82862
39,98.16794,98.26803,88.32971,88.22967
40,100.7702,100.87029,90.830795,90.73075
41,103.57264,103.67272,93.33189,93.23184
42,106.174904,106.27499,95.83297,95.83297
43,108.87725,108.87725,98.434105,98.33406
44,111.5796,111.67969,100.93519,100.835144
45,114.18186,114.18186,103.43628,103.336235
46,116.78413,116.78412,105.93737,105.837326
47,119.48647,119.38638,108.5385,108.33841
48,122.08873,122.08873,111.03959,110.939545
49,124.791084,124.791084,113.54067,113.44063
50,127.49343,127.49343,116.1418,116.04176
51,130.19579,130.09569,118.64289,118.54285
52,132.89813,132.69795,121.24402,121.143974
53,135.5004,135.30022,123.84515,123.645065
54,138.10266,138.00256,126.34624,126.24619
55,140.80501,140.70491,128.94737,128.74728
56,143.60744,143.40726,131.54851,131.34842
57,146.30978,146.10962,134.14963,133.94954
58,149.01213,148.71187,136.65073,136.45064
59,151.7145,151.41423,139.25185,139.05176
60,154.41684,154.11658,141.95303,141.6529
61,157.31935,156.919,144.55415,144.35406
62,160.02171,159.62135,147.15529,146.85516
63,162.72406,162.22362,149.75642,149.45628
64,165.52649,165.02606,152.35754,152.05742
65,168.32893,167.72841,154.95868,154.65855
66,170.63094,169.93031,157.35973,157.0596
67,172.4325,171.73189,159.66072,159.3606
68,174.03389,173.33328,161.66159,161.36147
69,175.33502,174.63441,163.46237,163.16225
70,176.43597,175.73537,165.16312,164.86299
71,177.33676,176.63615,166.66377,166.36365
72,178.13745,177.43684,168.06438,167.76425
73,178.73798,178.23753,169.26491,169.06482
74,179.3385,178.83806,170.46542,170.26534
75,179.83893,179.3385,171.46587,171.26578
76,180.23927,179.73885,172.36626,172.16617
77,180.63963,180.23927,173.26665,173.06656
78,180.9399,180.53954,174.06699,173.8669
79,181.24016,180.8398,174.76729,174.5672
80,181.44032,181.03998,175.36755,175.26752
81,181.6405,181.34024,175.96782,175.86777
82,181.74059,181.44032,176.368,176.26794
83,181.84067,181.5404,176.86821,176.76816
84,181.94077,181.6405,177.26839,177.16833
85,182.04085,181.84067,177.56851,177.56851
86,182.14093,181.94077,177.96869,177.96869
87,182.24103,182.04085,178.26881,178.26881
88,182.24103,182.04085,178.4689,178.4689
89,182.34111,182.14093,178.76903,178.76903
90,182.34111,182.14093,178.86908,178.96912
91,182.34111,182.14093,179.06917,179.1692
92,182.34111,182.14093,179.26926,179.26926
93,182.34111,182.24103,179.3693,179.46935
94,182.34111,182.24103,179.46935,179.56938
95,182.34111,182.24103,179.56938,179.66942
96,182.34111,182.24103,179.66943,179.76947
97,182.34111,182.24103,179.76947,179.8695
98,182.34111,182.24103,179.8695,179.96956
99,182.34111,182.24103,179.96956,179.96956
100,182.34111,182.24103,179.96956,180.0696
101,182.34111,182.24103,180.0696,180.16965
102,182.24103,182.24103,180.0696,180.16965
103,182.24103,182.24103,180.0696,180.16965
104,182.24103,182.14093,180.0696,180.16965
105,182.24103,182.14093,180.16965,180.26968
106,182.24103,182.14093,180.16965,180.26968
107,182.24103,182.24103,180.26968,180.36974
108,182.24103,182.14093,180.26968,180.36974
109,182.24103,182.14093,180.26968,180.36974
110,182.24103,182.14093,180.26968,180.36974
111,182.14093,182.04085,180.16965,180.26968
112,182.14093,182.04085,180.16965,180.26968
113,182.14093,182.04085,180.26968,180.36974
114,182.14093,182.04085,180.26968,180.36974
115,182.04085,182.04085,180.26968,180.36974
116,182.04085,182.04085,180.26968,180.36974
117,182.14093,182.04085,180.26968,180.36974
118,182.04085,181.94077,180.16965,180.26968
119,182.04085,181.94077,180.16965,180.36974
120,182.04085,181.94077,180.16965,180.36974
121,181.94077,181.94077,180.16965,180.36974
122,182.04085,181.94077,180.16965,180.36974
123,182.04085,181.94077,180.16965,180.36974
124,181.94077,181.94077,180.16965,180.26968
125,181.84067,181.84067,180.16965,180.26968
126,181.94077,181.84067,180.16965,180.26968
127,181.94077,181.94077,180.16965,180.26968
128,181.94077,181.94077,180.16965,180.26968
129,181.94077,181.94077,180.16965,180.26968
130,181.94077,181.94077,180.16965,180.26968
131,181.84067,181.84067,180.16965,180.26968
132,181.84067,181.84067,180.16965,180.26968
133,181.84067,181.84067,180.16965,180.26968
134,181.94077,181.84067,180.16965,180.26968
135,181.84067,181.84067,180.16965,180.26968
136,181.94077,181.84067,180.16965,180.26968
137,181.84067,181.84067,180.0696,180.16965
138,181.74059,181.74059,180.0696,180.26968
139,181.74059,181.74059,180.0696,180.26968
140,181.74059,181.74059,180.0696,180.26968
141,181.84067,181.74059,180.0696,180.26968
142,181.84067,181.84067,180.0696,180.26968
143,181.84067,181.74059,180.0696,180.16965
144,181.84067,181.74059,180.0696,180.16965
145,181.74059,181.74059,180.0696,180.26968
146,181.74059,181.74059,180.0696,180.26968
147,181.74059,181.74059,180.0696,180.26968
148,181.74059,181.74059,180.0696,180.26968
149,181.74059,181.74059,180.0696,180.16965
150,181.74059,181.6405,179.96956,180.16965
151,181.74059,181.74059,180.0696,180.16965
152,181.74059,181.6405,180.0696,180.16965
153,181.6405,181.6405,179.96956,180.16965
154,181.74059,181.74059,180.0696,180.16965
155,181.6405,181.6405,179.96956,180.16965
156,181.6405,181.6405,179.96956,180.0696
157,181.6405,181.6405,179.96956,180.16965
158,181.74059,181.74059,179.96956,180.16965
159,181.74059,181.74059,180.0696,180.16965
160,181.74059,181.74059,180.0696,180.16965
161,181.74059,181.74059,180.0696,180.16965
162,181.74059,181.74059,179.96956,180.16965
163,181.74059,181.74059,180.0696,180.16965
164,181.74059,181.74059,180.0696,180.16965
165,181.74059,181.74059,180.0696,180.16965
166,181.74059,181.74059,180.0696,180.16965
167,181.6405,181.6405,180.0696,180.16965
168,181.6405,181.6405,179.96956,180.0696
169,181.6405,181.6405,179.96956,180.16965
170,181.6405,181.6405,179.96956,180.16965
171,181.6405,181.6405,179.96956,180.16965
172,181.6405,181.6405,179.96956,180.16965
173,181.6405,181.6405,179.96956,180.16965
174,181.6405,181.6405,179.96956,180.0696
175,181.5404,181.5404,179.96956,180.0696
176,181.5404,181.5404,179.96956,180.0696
177,181.6405,181.6405,179.96956,180.0696
178,181.6405,181.6405,179.96956,180.0696
179,181.6405,181.6405,179.96956,180.0696
180,181.5404,181.5404,179.96956,180.0696
181,181.5404,181.5404,179.96956,180.0696
182,181.6405,181.6405,179.96956,180.0696
183,181.6405,181.6405,179.96956,180.0696
184,181.6405,181.6405,179.96956,180.16965
185,181.6405,181.6405,179.96956,180.0696
186,181.5404,181.5404,179.8695,179.96956
187,181.5404,181.5404,179.96956,180.0696
188,181.5404,181.5404,179.96956,180.0696
189,181.6405,181.6405,179.96956,180.0696
190,181.6405,181.6405,179.96956,180.0696
191,181.6405,181.6405,179.96956,180.0696
192,181.5404,181.5404,179.96956,180.0696
193,181.5404,181.5404,179.96956,180.0696
194,181.5404,181.5404,179.96956,180.0696
195,181.6405,181.6405,179.96956,180.0696
196,181.6405,181.6405,179.96956,180.0696
197,181.5404,181.5404,179.96956,180.0696
198,181.5404,181.5404,179.8695,180.0696
199,181.44032,181.44032,179.8695,180.0696
200,181.14006,181.14006,179.66943,179.8695
201,181.03998,181.03998,179.56938,179.76947
202,180.8398,180.8398,179.46935,179.56938
203,180.63963,180.63963,179.26926,179.46935
204,180.33937,180.33937,179.06917,179.26926
205,180.13919,180.13919,178.96912,179.06917
206,179.93903,179.93903,178.76903,178.96912
207,179.73885,179.63876,178.56895,178.76903
208,179.43858,179.43858,178.4689,178.56895
209,179.2384,179.2384,178.26881,178.36887
210,179.03824,178.93816,178.06873,178.16878
211,178.83806,178.73798,177.86864,177.96869
212,178.5378,178.5378,177.66856,177.86864
213,178.33763,178.33763,177.46848,177.66855
214,178.13745,178.13745,177.26839,177.46848
215,177.93729,177.93729,177.0683,177.26839
216,177.7371,177.7371,176.86821,176.96825
217,177.53693,177.53693,176.66812,176.76816
218,177.33676,177.33676,176.46803,176.66812
219,177.13658,177.13658,176.26794,176.46803
220,176.93642,176.93642,176.06786,176.26794
221,176.73624,176.73624,175.86777,176.06786
222,176.43597,176.43597,175.56764,175.76773
223,176.2358,176.2358,175.4676,175.56764
224,176.03563,176.03563,175.26752,175.36755
225,175.83545,175.83545,175.06743,175.26752
226,175.73537,175.63528,174.86734,175.06743
227,175.4351,175.53519,174.66725,174.86734
228,175.23492,175.23492,174.46716,174.5672
229,175.03476,175.03476,174.26707,174.36713
230,174.83458,174.83458,174.06699,174.26707
231,174.7345,174.7345,173.8669,174.06699
232,174.53432,174.53432,173.66681,173.8669
233,174.33415,174.33415,173.56677,173.66681
234,174.03389,174.03389,173.26665,173.36668
235,173.83371,173.93379,173.06656,173.26665
236,173.73363,173.73363,172.9665,173.06656
237,173.53345,173.53345,172.76642,172.86647
238,173.33328,173.33328,172.56635,172.76642
239,173.1331,173.1331,172.36626,172.56633
240,172.93292,172.93292,172.16617,172.2662
241,172.73276,172.73276,171.96608,172.16617
242,172.63268,172.63268,171.76599,171.96608
243,172.4325,172.4325,171.66594,171.76599
244,172.23232,172.23232,171.46587,171.5659
245,172.03215,172.13223,171.26578,171.46587
246,171.83197,171.83197,171.06569,171.16573
247,171.6318,171.6318,170.8656,171.06569
248,171.53171,171.53171,170.76555,170.8656
249,171.33154,171.33154,170.56546,170.76555
250,171.23145,171.23145,170.36539,170.56546
251,171.03128,171.03128,170.1653,170.26534
252,170.8311,170.8311,169.96521,170.1653
253,170.63094,170.63094,169.86516,169.96521
254,170.53084,170.53084,169.66507,169.86516
255,170.33067,170.33067,169.465,169.66507
256,170.1305,170.23058,169.36494,169.46498
257,169.93031,170.03041,169.16486,169.26491
258,168.5291,168.32893,168.36452,168.56459
259,165.02606,164.92596,166.2636,166.56372
260,161.6231,161.6231,163.76251,164.16269
261,158.12006,158.12006,161.06134,161.56155
262,154.31674,154.31674,158.16008,158.56024
263,150.41336,150.51344,155.05873,155.4589
264,146.61005,146.61005,151.95738,152.35754
265,142.80675,142.80675,148.75598,149.2562
266,139.00343,139.00343,145.5546,145.95477
267,135.4003,135.4003,142.45325,142.85342
268,131.79718,131.89726,139.25185,139.65202
269,128.39421,128.49431,136.05046,136.45064
270,125.19143,125.19143,133.04915,133.44933
271,121.98865,122.08873,130.04785,130.44803
272,119.08612,119.08612,127.14659,127.54676
273,116.1836,116.28368,124.34537,124.745544
274,113.481255,113.58134,121.54415,121.94433
275,110.87899,110.97907,118.84298,119.143105
276,108.376816,108.4769,116.241844,116.54198
277,106.074814,106.074814,113.74076,114.14093
278,103.77281,103.8729,111.339714,111.73989
279,101.67098,101.77107,109.03871,109.338844
280,99.56916,99.66924,106.73772,107.03784
281,97.56742,97.6675,104.53676,104.83689
282,95.765854,95.765854,102.435844,102.73598
283,93.96429,93.96429,100.434975,100.73511
284,92.16272,92.26281,98.434105,98.73424
285,90.561325,90.661415,96.63332,96.833405
286,88.95994,89.06002,94.7325,95.03262
287,87.35854,87.45863,92.93171,93.1318
288,85.85724,85.95733,91.23097,91.531105
289,84.456024,84.55611,89.63028,89.83036
290,83.15489,83.15489,88.02958,88.22967
291,81.75367,81.85376,86.52893,86.72901
292,80.452545,80.55263,85.028275,85.32841
293,79.15141,79.251495,83.527626,83.72771
294,77.95036,78.05045,82.127014,82.3271
295,76.74932,76.84941,80.82645,81.026535
296,75.64837,75.64837,79.52588,79.72597
297,74.44732,74.54741,78.22532,78.4254
298,73.34637,73.44645,77.024796,77.224884
299,72.24541,72.3455,75.72423,75.82427
300,71.24454,71.24454,74.523705,74.72379
301,70.24367,70.24367,73.423225,73.623314
302,69.2428,69.34289,72.322754,72.522835
303,68.34202,68.4421,71.32232,71.5224
304,67.44123,67.44123,70.22184,70.42192
305,66.44036,66.54045,69.221405,69.421486
306,65.63966,65.73975,68.321014,68.42105
307,64.83897,64.83897,67.32058,67.52066
308,64.03828,64.13836,66.42018,66.62027
309,63.23758,63.337666,65.619835,65.81992
310,62.436882,62.53697,64.719444,64.91953
311,61.73627,61.83636,63.919098,64.01914
312,61.035664,61.13575,63.118748,63.318836
313,60.335056,60.435143,62.3184,62.518486
314,59.73453,59.73453,61.618095,61.818184
315,59.033924,59.13401,60.917793,61.017834
316,58.333313,58.433403,60.117443,60.217487
317,57.53262,57.632706,59.317097,59.51718
318,56.731922,56.731922,58.516747,58.716835
319,55.931225,56.031315,57.816444,58.01653
320,55.230618,55.330704,57.216183,57.416267
321,54.53001,54.630096,56.61592,56.816006
322,53.929485,53.929485,56.01566,56.215748
323,53.328964,53.328964,55.51544,55.71553
324,52.82853,52.82853,55.11527,55.215313
325,52.328094,52.42818,54.715096,54.815136
326,51.927746,51.927746,54.314922,54.414963
327,51.527397,51.627483,53.914745,54.114834
