PTC11,PTC24,timestamp,SEG
24.804169,24.401913,1668004675,0
24.904257,24.501957,1668004735,0
25.104431,24.602001,1668004795,0
25.304604,24.802088,1668004855,0
25.504778,24.90213,1668004915,0
25.704952,25.002174,1668004975,0
26.005213,25.102219,1668005035,0
26.405561,25.302305,1668005095,0
26.80591,25.502392,1668005155,0
27.306345,25.702478,1668005215,0
27.706692,26.00261,1668005275,0
28.307215,26.30274,1668005335,0
28.907736,26.702913,1668005395,0
29.508259,27.103088,1668005455,0
30.208868,27.503262,1668005515,0
30.909475,28.003479,1668005575,0
31.610085,28.503696,1668005635,0
32.41078,29.003914,1668005695,0
33.211475,29.604176,1668005755,0
34.11226,30.30448,1668005815,0
35.013042,31.004784,1668005875,0
35.913826,31.70509,1668005935,0
36.81461,32.505436,1668005995,0
37.81548,33.305786,1668006055,0
38.916435,34.206177,1668006115,0
40.017395,35.106567,1668006175,0
41.11835,36.006958,1668006235,0
42.219307,37.007393,1668006295,0
43.52044,38.007828,1668006355,0
44.72148,39.108307,1668006415,0
45.922527,40.208786,1668006475,0
47.223656,41.309265,1668006535,0
48.624874,42.50979,1668006595,0
50.026093,43.710308,1668006655,0
51.42731,45.010876,1668006715,0
52.82853,46.31144,1668006775,0
54.229748,47.612007,1668006835,0
55.731052,48.91257,1668006895,1
57.232357,50.413223,1668006955,1
58.73366,51.81383,1668007015,1
60.335052,53.314484,1668007075,1
61.936447,54.715096,1668007135,1
63.637924,56.215748,1668007195,1
65.23932,57.816444,1668007255,1
67.040886,59.417137,1668007315,1
68.84245,61.017834,1668007375,1
70.54393,62.61853,1668007435,1
72.24541,64.31927,1668007495,1
74.046974,65.91997,1668007555,1
75.84854,67.72075,1668007615,1
77.75019,69.52153,1668007675,1
79.55176,71.222275,1668007735,1
81.5535,73.023056,1668007795,1
83.55524,74.92388,1668007855,1
85.456894,76.62462,1668007915,1
87.45863,78.62549,1668007975,1
89.46037,80.52631,1668008035,1
91.46211,82.42715,1668008095,1
93.46385,84.42802,1668008155,1
95.56568,86.32884,1668008215,1
97.56742,88.32971,1668008275,1
99.66924,90.33058,1668008335,1
101.77107,92.431496,1668008395,1
103.77281,94.53241,1668008455,1
105.67447,96.53328,1668008515,1
107.57612,98.53415,1668008575,1
109.47777,100.53502,1668008635,1
111.279335,102.435844,1668008695,1
113.0809,104.436714,1668008755,1
114.78238,106.33754,1668008815,1
116.58395,108.238365,1668008875,1
118.28543,110.13919,1668008935,1
119.98691,111.93998,1668008995,1
121.48821,113.64072,1668009055,1
123.0896,115.54154,1668009115,1
124.791084,117.24228,1668009175,1
126.39247,118.94302,1668009235,1
127.893776,120.64376,1668009295,1
129.39508,122.24445,1668009355,1
130.7963,123.84515,1668009415,1
132.19753,125.44585,1668009475,1
133.59874,126.9465,1668009535,1
134.89987,128.44716,1668009595,1
136.30109,129.9478,1668009655,1
137.60222,131.34842,1668009715,1
138.90335,132.64899,1668009775,1
140.20448,134.04959,1668009835,1
141.30544,135.4502,1668009895,1
142.50648,136.65073,1668009955,1
143.70752,137.95128,1668010015,1
144.70839,139.15181,1668010075,1
145.80936,140.35233,1668010135,1
146.91031,141.55286,1668010195,1
147.91118,142.65334,1668010255,1
148.91205,143.75381,1668010315,1
149.91292,144.8543,1668010375,1
150.8137,145.85472,1668010435,1
151.81458,146.85516,1668010495,1
152.61526,147.85559,1668010555,1
153.51605,148.85603,1668010615,1
154.41684,149.85646,1668010675,1
155.11745,150.75685,1668010735,1
156.01822,151.65724,1668010795,1
156.71884,152.4576,1668010855,1
157.51953,153.25793,1668010915,1
158.22014,154.15834,1668010975,1
158.92075,154.95868,1668011035,1
159.72145,155.65898,1668011095,1
160.32196,156.45934,1668011155,1
161.02258,157.15964,1668011215,1
161.6231,157.85994,1668011275,1
162.22362,158.56024,1668011335,1
162.82414,159.26056,1668011395,1
163.42467,159.96086,1668011455,1
164.02519,160.56111,1668011515,1
164.52562,161.16138,1668011575,1
165.02606,161.66159,1668011635,1
165.52649,162.3619,1668011695,1
166.02693,162.86212,1668011755,1
166.62744,163.46237,1668011815,1
167.12788,163.9626,1668011875,1
167.62831,164.46281,1668011935,1
168.02867,165.06308,1668011995,1
168.42902,165.5633,1668012055,1
168.92944,165.96347,1668012115,1
169.2297,166.46368,1668012175,1
169.73015,166.86386,1668012235,1
170.03041,167.36407,1668012295,1
170.43076,167.6642,1668012355,1
170.8311,168.16443,1668012415,1
171.13136,168.56459,1668012475,1
171.53171,168.96477,1668012535,1
171.83197,169.36494,1668012595,1
172.13223,169.66507,1668012655,1
172.4325,169.96521,1668012715,1
172.73276,170.36539,1668012775,1
173.03302,170.66551,1668012835,1
173.23318,171.06569,1668012895,1
173.63354,171.36581,1668012955,1
173.83371,171.66594,1668013015,1
174.03389,171.86603,1668013075,2
174.33415,172.16617,1668013135,2
174.53432,172.4663,1668013195,2
174.83458,172.76642,1668013255,2
175.03476,173.06656,1668013315,2
175.33502,173.26665,1668013375,2
175.4351,173.46674,1668013435,2
175.63528,173.76686,1668013495,2
175.93555,173.96695,1668013555,2
176.03563,174.16704,1668013615,2
176.33589,174.46716,1668013675,2
176.43597,174.66725,1668013735,2
176.63615,174.76729,1668013795,2
176.73624,175.06743,1668013855,2
176.93642,175.26752,1668013915,2
177.13658,175.4676,1668013975,2
177.33676,175.56764,1668014035,2
177.43684,175.76773,1668014095,2
177.53693,175.86777,1668014155,2
177.7371,176.06786,1668014215,2
177.83719,176.26794,1668014275,2
178.03737,176.368,1668014335,2
178.13745,176.56807,1668014395,2
178.23753,176.66812,1668014455,2
178.33763,176.86821,1668014515,2
178.43771,176.96825,1668014575,2
178.6379,177.16833,1668014635,2
178.73798,177.26839,1668014695,2
178.83806,177.36842,1668014755,2
178.93816,177.46848,1668014815,2
179.03824,177.56851,1668014875,2
179.13832,177.7686,1668014935,2
179.2384,177.86864,1668014995,2
179.3385,177.96869,1668015055,2
179.43858,178.06873,1668015115,2
179.53867,178.16878,1668015175,2
179.53867,178.16878,1668015235,2
179.63876,178.26881,1668015295,2
179.73885,178.36887,1668015355,2
179.83893,178.4689,1668015415,2
179.83893,178.56895,1668015475,2
179.93903,178.66899,1668015535,2
180.03911,178.66899,1668015595,2
180.03911,178.76903,1668015655,2
180.13919,178.86908,1668015715,2
180.23927,178.96912,1668015775,2
180.33937,179.06917,1668015835,2
180.33937,179.1692,1668015895,2
180.43945,179.1692,1668015955,2
180.53954,179.26926,1668016015,2
180.63963,179.3693,1668016075,2
180.63963,179.3693,1668016135,2
180.73972,179.46935,1668016195,2
180.8398,179.56938,1668016255,2
180.8398,179.56938,1668016315,2
180.8398,179.56938,1668016375,2
180.8398,179.66942,1668016435,2
180.8398,179.76947,1668016495,2
180.73972,179.76947,1668016555,2
180.8398,179.76947,1668016615,2
180.8398,179.8695,1668016675,2
180.8398,179.76947,1668016735,2
180.9399,179.96956,1668016795,2
180.9399,179.96956,1668016855,2
181.03998,180.0696,1668016915,2
181.03998,180.0696,1668016975,2
181.14006,180.16965,1668017035,2
181.14006,180.16965,1668017095,2
181.14006,180.16965,1668017155,2
181.14006,180.26968,1668017215,2
181.14006,180.36974,1668017275,2
181.24014,180.36974,1668017335,2
181.34024,180.36974,1668017395,2
181.34024,180.36974,1668017455,2
181.34024,180.46977,1668017515,2
181.44032,180.56982,1668017575,2
181.44032,180.56982,1668017635,2
181.44032,180.66986,1668017695,2
181.6405,180.66986,1668017755,2
181.5404,180.66986,1668017815,2
181.6405,180.7699,1668017875,2
181.6405,180.7699,1668017935,2
181.6405,180.86995,1668017995,2
181.74059,180.86995,1668018055,2
181.74059,180.86995,1668018115,2
181.84067,180.86995,1668018175,2
181.74059,180.96999,1668018235,2
181.84067,180.96999,1668018295,2
181.84067,180.96999,1668018355,2
181.84067,180.96999,1668018415,2
181.94077,181.07004,1668018475,2
181.84067,180.96999,1668018535,2
181.84067,180.96999,1668018595,2
181.84067,181.07004,1668018655,2
181.84067,181.07004,1668018715,2
181.94077,181.07004,1668018775,2
181.94077,181.07004,1668018835,2
181.84067,181.07004,1668018895,2
181.84067,181.07004,1668018955,2
181.94077,181.07004,1668019015,2
181.84067,181.07004,1668019075,2
181.94077,181.07004,1668019135,2
181.94077,181.07004,1668019195,2
181.94077,181.07004,1668019255,2
181.94077,181.07004,1668019315,2
181.94077,181.07004,1668019375,2
182.04085,181.07004,1668019435,2
182.04085,181.17007,1668019495,2
182.04085,181.17007,1668019555,2
182.04085,181.07004,1668019615,2
181.94077,181.07004,1668019675,2
182.04085,181.07004,1668019735,2
181.94077,181.17007,1668019795,2
181.94077,181.07004,1668019855,2
182.04085,181.07004,1668019915,2
181.94077,181.07004,1668019975,2
181.94077,181.07004,1668020035,2
181.94077,181.07004,1668020095,2
181.94077,181.07004,1668020155,2
181.94077,181.07004,1668020215,2
182.04085,181.07004,1668020275,2
181.94077,181.07004,1668020335,2
181.94077,181.07004,1668020395,2
181.94077,181.07004,1668020455,2
181.94077,181.07004,1668020515,2
182.04085,181.07004,1668020575,2
181.94077,181.07004,1668020635,2
182.04085,181.07004,1668020695,2
181.94077,181.07004,1668020755,2
181.94077,181.07004,1668020815,2
181.94077,181.07004,1668020875,2
181.94077,181.07004,1668020935,2
181.74059,181.07004,1668020995,2
181.5404,180.96999,1668021055,2
181.24014,180.86995,1668021115,2
180.9399,180.7699,1668021175,2
180.63963,180.66986,1668021235,2
180.03911,180.46977,1668021295,2
179.3385,180.16965,1668021355,2
178.73798,179.8695,1668021415,2
178.03737,179.46935,1668021475,2
177.23666,179.06917,1668021535,2
176.43597,178.56895,1668021595,2
175.53519,178.06873,1668021655,2
174.7345,177.46848,1668021715,2
173.73363,176.86821,1668021775,3
172.83284,176.16791,1668021835,3
171.83197,175.4676,1668021895,3
170.93118,174.66725,1668021955,3
169.83023,173.96695,1668022015,3
168.72928,172.9665,1668022075,3
167.62831,172.16617,1668022135,3
166.42728,171.26578,1668022195,3
165.22623,170.26534,1668022255,3
163.9251,169.26491,1668022315,3
162.62396,168.16443,1668022375,3
161.22275,167.06395,1668022435,3
159.82153,165.96347,1668022495,3
158.32022,164.6629,1668022555,3
156.81892,163.46237,1668022615,3
155.31761,162.16182,1668022675,3
153.71623,160.86125,1668022735,3
152.21492,159.46063,1668022795,3
150.61353,158.06003,1668022855,3
148.91205,156.65942,1668022915,3
147.31065,155.15877,1668022975,3
145.60918,153.65811,1668023035,3
144.00778,152.15746,1668023095,3
142.3063,150.55676,1668023155,3
140.70491,149.05612,1668023215,3
139.00343,147.45541,1668023275,3
137.40204,145.85472,1668023335,3
135.80066,144.35406,1668023395,3
134.09917,142.65334,1668023455,3
132.49779,141.05263,1668023515,3
130.7963,139.45193,1668023575,3
129.19492,137.85124,1668023635,3
127.59352,136.25055,1668023695,3
125.99213,134.64986,1668023755,3
124.39073,132.94911,1668023815,3
122.88943,131.34842,1668023875,3
121.28804,129.74773,1668023935,3
119.686646,128.14702,1668023995,3
118.18534,126.546326,1668024055,3
116.68404,124.94563,1668024115,3
115.18273,123.44498,1668024175,3
113.68143,121.844284,1668024235,3
112.18012,120.34363,1668024295,3
110.67882,118.742935,1668024355,3
109.17751,117.24228,1668024415,3
107.77629,115.74163,1668024475,3
106.37508,114.34102,1668024535,3
104.973854,112.84037,1668024595,3
103.57264,111.43976,1668024655,3
102.17142,109.93911,1668024715,3
100.87029,108.43845,1668024775,3
99.46907,107.137886,1668024835,3
98.16794,105.73728,1668024895,3
96.866806,104.33667,1668024955,3
95.665764,103.0361,1668025015,3
94.36463,101.73554,1668025075,3
93.26368,100.33493,1668025135,3
91.96255,99.03436,1668025195,3
90.86159,97.7338,1668025255,3
89.660545,96.53328,1668025315,3
88.659676,95.332756,1668025375,3
87.558716,94.13223,1668025435,3
86.557846,92.93171,1668025495,3
85.55698,91.83123,1668025555,3
84.6562,90.73075,1668025615,3
83.65533,89.530235,1668025675,3
82.85463,88.5298,1668025735,3
81.95385,87.529366,1668025795,3
80.95298,86.52893,1668025855,3
80.05219,85.528496,1668025915,3
79.05132,84.52805,1668025975,3
78.15054,83.62766,1668026035,3
77.14967,82.52718,1668026095,3
76.1488,81.62679,1668026155,3
75.24802,80.62636,1668026215,3
74.44732,79.72597,1668026275,3
73.54654,78.82558,1668026335,3
72.74584,77.925186,1668026395,3
71.84506,77.024796,1668026455,3
71.044365,76.124405,1668026515,3
70.14358,75.12397,1668026575,3
69.34289,74.32362,1668026635,3
68.54219,73.423225,1668026695,3
67.74149,72.62288,1668026755,3
67.040886,71.82253,1668026815,3
66.34027,70.92214,1668026875,3
65.53958,70.121796,1668026935,3
64.83897,69.32144,1668026995,3
64.03828,68.521095,1668027055,3
63.337666,67.82079,1668027115,3
62.73714,67.02045,1668027175,3
62.036533,66.32014,1668027235,3
61.335926,65.51979,1668027295,3
60.7354,64.81949,1668027355,3
60.13488,64.11919,1668027415,3
59.434273,63.418877,1668027475,0
58.833748,62.718575,1668027535,0
58.233227,62.01827,1668027595,0
57.632706,61.418007,1668027655,0
57.032185,60.81775,1668027715,0
56.53175,60.117443,1668027775,0
55.931225,59.51718,1668027835,0
55.43079,58.91692,1668027895,0
54.930355,58.31666,1668027955,0
54.42992,57.616356,1668028015,0
53.929485,57.216183,1668028075,0
53.529137,56.715965,1668028135,0
53.228878,56.215748,1668028195,0
52.82853,55.71553,1668028255,0
